REQ-ID,Type,Source,Priority,Requirement Description,Acceptance Criteria,GitHub Issue,TC-ID,Test Type,Test Description,Test Status,Tested By,Test Date,Notes
FR-001,Functional,Business Stakeholder,High,Alumni registration form — collect name/email/phone/graduation year/degree/department/city/state/country/bio/LinkedIn,"Form saves to DB; duplicate email returns error; required fields enforced; success message shown",,TC-001,Functional,Submit form with valid data — verify success message and DB record,Not Started,,,
FR-001,Functional,Business Stakeholder,High,Alumni registration form — collect name/email/phone/graduation year/degree/department/city/state/country/bio/LinkedIn,"Form saves to DB; duplicate email returns error; required fields enforced; success message shown",,TC-002,Functional,Submit form with duplicate email — verify 409 error shown,Not Started,,,
FR-001,Functional,Business Stakeholder,High,Alumni registration form — collect name/email/phone/graduation year/degree/department/city/state/country/bio/LinkedIn,"Form saves to DB; duplicate email returns error; required fields enforced; success message shown",,TC-003,UAT,Business stakeholder completes registration end-to-end on staging site,Not Started,,,
FR-002,Functional,Business Stakeholder,High,Contact form — collect name/email/subject/message and notify info@kuana.org,"Message saved to DB; email sent to info@kuana.org; sender sees success confirmation",,TC-004,Functional,Submit contact form — verify success message displayed,Not Started,,,
FR-002,Functional,Business Stakeholder,High,Contact form — collect name/email/subject/message and notify info@kuana.org,"Message saved to DB; email sent to info@kuana.org; sender sees success confirmation",,TC-005,Integration,Submit contact form — verify email received at info@kuana.org,Not Started,,,
FR-002,Functional,Business Stakeholder,High,Contact form — collect name/email/subject/message and notify info@kuana.org,"Message saved to DB; email sent to info@kuana.org; sender sees success confirmation",,TC-006,UAT,Product Owner submits test message and confirms email receipt,Not Started,,,
FR-003,Functional,Product Owner,High,Donation section — redirect users to PayPal Giving Fund and Zeffy external platforms,"Clicking Donate via PayPal opens PayPal in new tab; Clicking Donate via Zeffy opens Zeffy in new tab; no PII collected on site",,TC-007,Functional,Click PayPal donate button — verify correct external URL opens in new tab,Not Started,,,
FR-003,Functional,Product Owner,High,Donation section — redirect users to PayPal Giving Fund and Zeffy external platforms,"Clicking Donate via PayPal opens PayPal in new tab; Clicking Donate via Zeffy opens Zeffy in new tab; no PII collected on site",,TC-008,UAT,Business stakeholder confirms donation flow feels intuitive,Not Started,,,
FR-004,Functional,Business Stakeholder,Medium,Media gallery — carousel with photos for 2023 and 2025 reunions; 2027 shows TBD,"Carousel navigates with arrows and dots; thumbnails scroll; lightbox opens on click; keyboard navigation works (← → Esc)",,TC-009,Functional,Click through carousel — verify arrows/dots/thumbnails work correctly,Not Started,,,
FR-004,Functional,Business Stakeholder,Medium,Media gallery — carousel with photos for 2023 and 2025 reunions; 2027 shows TBD,"Carousel navigates with arrows and dots; thumbnails scroll; lightbox opens on click; keyboard navigation works (← → Esc)",,TC-010,Functional,Open lightbox — verify keyboard navigation and Esc to close,Not Started,,,
FR-004,Functional,Business Stakeholder,Medium,Media gallery — carousel with photos for 2023 and 2025 reunions; 2027 shows TBD,"Carousel navigates with arrows and dots; thumbnails scroll; lightbox opens on click; keyboard navigation works (← → Esc)",,TC-011,UAT,Non-technical reviewer browses photo gallery without assistance,Not Started,,,
